University,QS Ranking,THE,Shanghai Ranking
Massachusetts Institute of Technology (MIT) ,1,3,3
University of Cambridge,2,5,4
University of Oxford,3,1,7
Harvard University,4,4,1
Stanford University,5,2,2
Imperial College London,6,8,23
ETH Zurich - Swiss Federal Institute of Technology,7,11,20
National University of Singapore (NUS),8,19,71
UCL,9,22,17
"University of California, Berkeley (UCB)",10,9,5
University of Chicago,11,13,10
University of Pennsylvania,12,16,14
Cornell University,13,20,12
The University of Melbourne,14,37,35
California Institute of Technology (Caltech),15,7,9
Yale University,16,10,11
Princeton University,17,6,6
Peking University,17,14,29
The University of New South Wales (UNSW Sydney),19,84,72
The University of Sydney,19,60,73
University of Toronto,21,21,24
The University of Edinburgh,22,30,38
Columbia University,23,17,8
Université PSL,24,40,41
Tsinghua University,25,12,22
The University of Hong Kong,26,35,88
"Nanyang Technological University, Singapore (NTU)",26,32,93
Johns Hopkins University,28,15,16
The University of Tokyo,28,29,27
"University of California, Los Angeles (UCLA)",29,18,13
McGill University,30,49,70
The University of Manchester,32,51,41
University of Michigan-Ann Arbor,33,23,26
University of British Columbia,34,41,44
The Australian National University,34,67,84
EPFL,36,33,54
Technical University of Munich,37,30,59
New York University (NYU),38,27,28
Institut Polytechnique de Paris,38,71,301–400
King's College London,40,38,59
Seoul National University,41,62,94
Monash University,42,54,77
The University of Queensland,43,70,51
Zhejiang University,44,55,33
The London School of Economics and Political Science (LSE),45,46,151–200
Kyoto University,46,55,39
Northwestern University,47,28,30
The Chinese University of Hong Kong (CUHK),47,53,101–150
Delft University of Technology,47,48,151–200
Fudan University,50,44,56
Shanghai Jiao Tong University,51,43,46
Carnegie Mellon University,52,24,101–150
University of Amsterdam,53,61,101–150
Ludwig-Maximilians-Universität München,54,38,N/A
University of Bristol,55,81,88
KAIST - Korea Advanced Institute of Science & Technology,56,83,201–300
Duke University,57,26,34
University of Texas at Austin,58,52,43
Sorbonne University,59,75,46
The Hong Kong University of Science and Technology,60,64,301–400
KU Leuven,61,45,86
"University of California, San Diego (UCSD)",62,34,19
University of Washington,63,25,18
University of Illinois at Urbana-Champaign,64,42,52
The Hong Kong Polytechnic University,65,87,151–200
Universiti Malaya (UM),65,251–300,401–500
The University of Warwick,67,106,101–150
The University of Auckland,68,150,201–300
National Taiwan University (NTU),69,152,201–300
City University of Hong Kong,70,82,101–150
Université Paris-Saclay,71,58,15
The University of Western Australia,72,143,101–150
Brown University,73,64,98
KTH Royal Institute of Technology ,73,97,201–300
University of Leeds,75,129,151–200
University of Glasgow,76,87,101–150
Yonsei University,76,76,201–300
Durham University,78,174,301–400
Korea University,79,201–250,201–300
Osaka University,80,175,151–200
University of Southampton,81,97,151–200
"Trinity College Dublin, The University of Dublin",81,134,201–300
Pennsylvania State University,83,122,101–150
University of Birmingham,84,101,151–200
Universidade de São Paulo,85,201–250,101–150
Lund University,85,106,151–200
Ruprecht-Karls-Universität Heidelberg,87,47,55
Lomonosov Moscow State University,87,95,101–150
The University of Adelaide,89,111,151–200
University of Technology Sydney,90,148,201–300
University of Zurich,91,80,59
Tokyo Institute of Technology (Tokyo Tech),91,191,151–200
Boston University,93,78,101–150
Universidad Nacional Autónoma de México (UNAM),93,801–1000,201–300
Universidad de Buenos Aires (UBA),95,N/A,201–300
University of St Andrews,95,193,301–400
Georgia Institute of Technology,97,36,151–200
Freie Universitaet Berlin,98,102,N/A
Purdue University,99,86,96
University of Nottingham,100,130,101–150
Pohang University of Science And Technology (POSTECH),100,149,301–400
University of Wisconsin-Madison,102,63,35
Pontificia Universidad Católica de Chile (UC),103,401–500,601–700
The University of Sheffield,104,105,151–200
Uppsala University,105,140,82
RWTH Aachen University,106,90,201–300
University of Copenhagen,107,103,32
Utrecht University,107,N/A,52
Aalto University,109,201–250,301–400
Newcastle University,110,168,201–300
University of Alberta,111,109,91
University of Waterloo,112,158,151–200
Tohoku University,113,130,201–300
Western University,114,201–250,301–400
University of Helsinki,115,121,101–150
University of Southern California,116,74,58
University of Oslo,117,127,73
Stockholm University,118,185,98
"University of California, Davis",118,59,101–150
"KIT, Karlsruhe Institute of Technology",119,140,301–400
Humboldt-Universität zu Berlin,120,87,N/A
Technical University of Denmark,121,126,151–200
Lancaster University,122,155,301–400
Politecnico di Milano,123,201–250,201–300
University of Basel,124,123,81
Eindhoven University of Technology,124,168,401–500
Leiden University,126,77,101–150
University of Bern,126,116,101–150
University of Geneva,128,183,49
Chalmers University of Technology,129,189,401–500
University of Vienna,130,119,101–150
Macquarie University,130,180,201–300
"University of North Carolina, Chapel Hill",132,72,31
Sapienza University of Rome,134,181,101–150
Texas A&M University,134,118,151–200
Michigan State University,136,116,151–200
University of Science and Technology of China,137,57,64
Universiti Sains Malaysia (USM),137,401–500,601–700
University of Groningen,139,79,76
RMIT University,140,251–300,301–400
Nanjing University,141,73,96
Université de Montréal ,141,111,151–200
Aarhus University,143,109,78
King Abdulaziz University (KAU),143,251–300,151–200
Rice University,145,119,101–150
Sungkyunkwan University(SKKU),145,145,151–200
Queen Mary University of London,145,135,201–300
