qs_name,qs_rank,times_name_best_match,times_rank,score
Université PSL,24,indiana university bloomington,151-200,76
EPFL,36,seoul national university,94,45
Ludwig-Maximilians-Universität München,54,jilin university,101-150,73
Universiti Malaya (UM),65,university of lausanne,101-150,64
Université Paris-Saclay,71,sichuan university,101-150,64
Pennsylvania State University,83,brown university,98,86
Universidade de São Paulo,85,university of bordeaux,201-300,62
Ruprecht-Karls-Universität Heidelberg,87,wuhan university,101-150,62
Universidad Nacional Autónoma de México (UNAM),93,hunan university,151-200,64
Universidad de Buenos Aires (UBA),95,hunan university,151-200,59
Freie Universitaet Berlin,98,vrije universiteit amsterdam,151-200,68
Pontificia Universidad Católica de Chile (UC),103,jilin university,101-150,62
Utrecht University,107,university of wisconsin  madison,35,86
Humboldt-Universität zu Berlin,120,wuhan university,101-150,65
Universiti Sains Malaysia (USM),137,jilin university,101-150,64
Université de Montréal ,141,university of montpellier,151-200,71
Indian Institute of Technology Bombay (IITB),149,university of toronto,24,86
Universitat Autònoma de Barcelona,149,hunan university,151-200,64
The Ohio State University,151,brown university,98,86
Technische Universität Berlin (TU Berlin),154,yonsei university,201-300,68
Universiti Putra Malaysia (UPM),158,hunan university,151-200,64
Universidad de Chile,159,university of leeds,151-200,62
Universiti Kebangsaan Malaysia (UKM),159,sichuan university,101-150,62
Universitat de Barcelona,164,oregon state university,201-300,65
Complutense University of Madrid,171,university of toronto,24,86
Université catholique de Louvain (UCLouvain),180,hunan university,151-200,72
École Normale Supérieure de Lyon,184,ecole normale superieure  lyon,201-300,93
Technische Universität Wien,184,technical university of denmark,151-200,70
Tecnológico de Monterrey,184,georgia institute of technology,151-200,46
Universiti Teknologi Malaysia ,188,jilin university,101-150,64
Albert-Ludwigs-Universitaet Freiburg,192,yonsei university,201-300,61
Ecole des Ponts ParisTech,192,ecole normale superieure  lyon,201-300,47
Hokkaido University,196,university of wisconsin  madison,35,86
Indian Institute of Technology Delhi (IITD),197,university of toronto,24,86
Universidad de los Andes,198,university of lausanne,101-150,65
Universidad Autónoma de Madrid,199,curtin university,201-300,56
Waseda University,199,university of wisconsin  madison,35,86
King Saud University,203,university of wisconsin  madison,35,86
Universität Hamburg,205,university of strasbourg,151-200,71
Queen's University at Kingston,209,brown university,98,86
Eberhard Karls Universität Tübingen,213,jinan university,201-300,69
Universidade Estadual de Campinas (Unicamp),220,hunan university,151-200,59
American University of Beirut (AUB),226,university of toronto,24,86
Universidad Nacional de Colombia,226,jinan university,201-300,64
Friedrich-Alexander-Universität Erlangen-Nürnberg,229,xiamen university,151-200,64
Al-Farabi Kazakh National University,230,university of toronto,24,86
Khalifa University of Science and Technology,230,university of toronto,24,86
University of Göttingen,232,university of goettingen,151-200,96
Heriot-Watt University,235,university of wisconsin  madison,35,86
Université de Paris-Cité,236,maastricht university,201-300,67
Universitas Indonesia,237,qingdao university,201-300,68
Massey University,239,university of wisconsin  madison,35,86
Rheinische Friedrich-Wilhelms-Universität Bonn,239,wuhan university,101-150,64
Technische Universität Dresden,246,technical university of denmark,151-200,70
Charles University,248,university of wisconsin  madison,35,86
University of Waikato,250,university of wisconsin  madison,35,86
Politecnico di Torino,252,polytechnic university of milan,201-300,58
Gadjah Mada University,263,university of california santa cruz,151-200,86
University of Lisbon ,266,university of wisconsin  madison,35,86
Linköping University,268,university of wisconsin  madison,35,86
Indian Institute of Technology Kharagpur (IIT-KGP),271,university of toronto,24,86
University of Milan,276,polytechnic university of milan,201-300,90
Indian Institute of Technology Kanpur (IITK),278,university of toronto,24,86
Bandung Institute of Technology (ITB),281,university of toronto,24,86
Taylor's University,284,university of wisconsin  madison,35,86
Indian Institute of Technology Madras (IITM),285,university of toronto,24,86
United Arab Emirates University,290,brown university,98,86
Xi’an Jiaotong University,291,xian jiaotong university,101-150,100
Norwegian University of Science And Technology,292,university of toronto,24,86
Rutgers University–New Brunswick,299,brown university,98,68
UCSI University,300,university of wisconsin  madison,35,86
