Rank,University,Name,times_Rank
1,,University of Oxford,1
2,,Stanford University,2
3,,Massachusetts Institute of Technology,3
4,,Harvard University,4
5,,University of Cambridge,5
6,,Princeton University,6
7,,California Institute of Technology,7
8,,Imperial College London,8
9,,"University of California, Berkeley",9
10,,Yale University,10
11,,ETH Zurich,11
12,,Tsinghua University,12
13,,The University of Chicago,13
14,,Peking University,14
15,,Johns Hopkins University,15
16,,University of Pennsylvania,16
17,,Columbia University,17
18,,"University of California, Los Angeles",18
19,,National University of Singapore,19
20,,Cornell University,20
21,,University of Toronto,21
22,,UCL,22
23,,University of Michigan-Ann Arbor,23
24,,Carnegie Mellon University,24
25,,University of Washington,25
26,,Duke University,26
27,,New York University,27
28,,Northwestern University,28
29,,The University of Tokyo,29
30,,University of Edinburgh,30
30,,Technical University of Munich,30
32,,"Nanyang Technological University, Singapore",32
33,,École Polytechnique Fédérale de Lausanne,33
34,,"University of California, San Diego",34
35,,University of Hong Kong,35
36,,Georgia Institute of Technology,36
37,,University of Melbourne,37
38,,King’s College London,38
38,,LMU Munich,38
40,,Paris Sciences et Lettres - PSL Research University Paris,40
41,,University of British Columbia,41
42,,University of Illinois at Urbana-Champaign,42
43,,Shanghai Jiao Tong University,43
44,,Fudan University,44
45,,KU Leuven,45
46,,London School of Economics and Political Science,46
47,,Universität Heidelberg,47
48,,Delft University of Technology,48
49,,McGill University,49
50,,Karolinska Institute,50
51,,University of Manchester,51
52,,University of Texas at Austin,52
53,,Chinese University of Hong Kong,53
54,,Monash University,54
55,,Kyoto University,55
55,,Zhejiang University,55
57,,University of Science and Technology of China,57
58,,Université Paris-Saclay,58
59,,"University of California, Davis",59
60,,The University of Sydney,60
61,,University of Amsterdam,61
62,,Seoul National University,62
63,,University of Wisconsin-Madison,63
64,,Brown University,64
64,,The Hong Kong University of Science and Technology,64
64,,Wageningen University & Research,64
67,,Australian National University,67
68,,Washington University in St Louis,68
69,,"University of California, Santa Barbara",69
70,,The University of Queensland,70
71,,Institut Polytechnique de Paris,71
72,,University of North Carolina at Chapel Hill,72
73,,Nanjing University,73
74,,University of Southern California,74
75,,Sorbonne University,75
76,,Yonsei University (Seoul campus),76
77,,Leiden University,77
78,,Boston University,78
79,,University of Groningen,79
80,,University of Zurich,80
81,,University of Bristol,81
82,,City University of Hong Kong,82
83,,Korea Advanced Institute of Science and Technology (KAIST),83
84,,UNSW Sydney,84
85,,University of Minnesota,85
86,,Purdue University West Lafayette,86
87,,University of Glasgow,87
87,,The Hong Kong Polytechnic University,87
87,,Humboldt University of Berlin,87
90,,RWTH Aachen University,90
91,,University of Bonn,91
92,,"University of California, Irvine",92
92,,Vanderbilt University,92
94,,Charité - Universitätsmedizin Berlin,94
95,,Lomonosov Moscow State University,95
95,,University of Tübingen,95
97,,KTH Royal Institute of Technology,97
97,,University of Southampton,97
99,,Erasmus University Rotterdam,99
99,,Ohio State University (Main campus),99
101,,University of Birmingham,101
102,,Free University of Berlin,102
103,,University of Copenhagen,103
103,,McMaster University,103
105,,University of Sheffield,105
106,,Emory University,106
106,,Lund University,106
106,,University of Warwick,106
109,,Aarhus University,109
109,,University of Alberta,109
111,,University of Adelaide,111
111,,University of Göttingen,111
111,,Université de Montréal,111
114,,"University of Maryland, College Park",114
115,,Ghent University,115
116,,University of Bern,116
116,,Michigan State University,116
118,,Texas A&M University,118
119,,Rice University,119
119,,University of Vienna,119
121,,University of Helsinki,121
122,,Penn State (Main campus),122
123,,University of Basel,123
123,,University of Massachusetts,123
125,,Vrije Universiteit Amsterdam,125
126,,Technical University of Denmark,126
127,,University of Oslo,127
128,,University of Freiburg,128
129,,University of Leeds,129
130,,University of Nottingham,130
130,,Tohoku University,130
132,,University of Florida,132
133,,University of Rochester,133
134,,Trinity College Dublin,134
135,,Queen Mary University of London,135
136,,University of Hamburg,136
136,,Technical University of Berlin,136
138,,University of Colorado Boulder,138
138,,Maastricht University,138
140,,Karlsruhe Institute of Technology,140
140,,Radboud University Nijmegen,140
140,,Uppsala University,140
143,,University of Lausanne,143
143,,The University of Western Australia,143
145,,University of Pittsburgh-Pittsburgh campus,145
145,,Sungkyunkwan University (SKKU),145
147,,University of York,147
148,,University of Technology Sydney,148
149,,Pohang University of Science and Technology (POSTECH),149
150,,University of Auckland,150
150,,Sichuan University,150
152,,University of Barcelona,152
152,,National Taiwan University (NTU),152
